frequency,current,capacitance,resistance
5.000000000000000000e+02,1.569999999999999868e-02,5.500000000000000281e-07,1.050000000000000000e+02
5.050000000000000000e+02,1.600000000000000033e-02,5.500000000000000281e-07,1.050000000000000000e+02
5.100000000000000000e+02,1.660000000000000017e-02,5.500000000000000281e-07,1.050000000000000000e+02
5.150000000000000000e+02,1.710000000000000062e-02,5.500000000000000281e-07,1.050000000000000000e+02
5.200000000000000000e+02,1.760000000000000106e-02,5.500000000000000281e-07,1.050000000000000000e+02
5.250000000000000000e+02,1.800000000000000211e-02,5.500000000000000281e-07,1.050000000000000000e+02
5.300000000000000000e+02,1.839999999999999969e-02,5.500000000000000281e-07,1.050000000000000000e+02
5.350000000000000000e+02,1.870000000000000134e-02,5.500000000000000281e-07,1.050000000000000000e+02
5.400000000000000000e+02,1.890000000000000013e-02,5.500000000000000281e-07,1.050000000000000000e+02
5.450000000000000000e+02,1.899999999999999953e-02,5.500000000000000281e-07,1.050000000000000000e+02
5.500000000000000000e+02,1.910000000000000239e-02,5.500000000000000281e-07,1.050000000000000000e+02
5.550000000000000000e+02,1.910000000000000239e-02,5.500000000000000281e-07,1.050000000000000000e+02
5.600000000000000000e+02,1.899999999999999953e-02,5.500000000000000281e-07,1.050000000000000000e+02
5.650000000000000000e+02,1.880000000000000074e-02,5.500000000000000281e-07,1.050000000000000000e+02
5.700000000000000000e+02,1.860000000000000195e-02,5.500000000000000281e-07,1.050000000000000000e+02
5.750000000000000000e+02,1.830000000000000029e-02,5.500000000000000281e-07,1.050000000000000000e+02
5.800000000000000000e+02,1.789999999999999925e-02,5.500000000000000281e-07,1.050000000000000000e+02
5.850000000000000000e+02,1.760000000000000106e-02,5.500000000000000281e-07,1.050000000000000000e+02
5.900000000000000000e+02,1.710000000000000062e-02,5.500000000000000281e-07,1.050000000000000000e+02
5.950000000000000000e+02,1.669999999999999957e-02,5.500000000000000281e-07,1.050000000000000000e+02
6.000000000000000000e+02,1.630000000000000199e-02,5.500000000000000281e-07,1.050000000000000000e+02
5.000000000000000000e+02,1.750000000000000167e-02,5.500000000000000281e-07,8.000000000000000000e+01
5.050000000000000000e+02,1.810000000000000150e-02,5.500000000000000281e-07,8.000000000000000000e+01
5.100000000000000000e+02,1.890000000000000013e-02,5.500000000000000281e-07,8.000000000000000000e+01
5.150000000000000000e+02,1.960000000000000284e-02,5.500000000000000281e-07,8.000000000000000000e+01
5.200000000000000000e+02,2.039999999999999800e-02,5.500000000000000281e-07,8.000000000000000000e+01
5.250000000000000000e+02,2.110000000000000070e-02,5.500000000000000281e-07,8.000000000000000000e+01
5.300000000000000000e+02,2.170000000000000054e-02,5.500000000000000281e-07,8.000000000000000000e+01
5.350000000000000000e+02,2.220000000000000098e-02,5.500000000000000281e-07,8.000000000000000000e+01
5.400000000000000000e+02,2.270000000000000143e-02,5.500000000000000281e-07,8.000000000000000000e+01
5.450000000000000000e+02,2.299999999999999961e-02,5.500000000000000281e-07,8.000000000000000000e+01
5.500000000000000000e+02,2.310000000000000248e-02,5.500000000000000281e-07,8.000000000000000000e+01
5.550000000000000000e+02,2.299999999999999961e-02,5.500000000000000281e-07,8.000000000000000000e+01
5.600000000000000000e+02,2.280000000000000082e-02,5.500000000000000281e-07,8.000000000000000000e+01
5.650000000000000000e+02,2.249999999999999917e-02,5.500000000000000281e-07,8.000000000000000000e+01
5.700000000000000000e+02,2.199999999999999872e-02,5.500000000000000281e-07,8.000000000000000000e+01
5.750000000000000000e+02,2.150000000000000175e-02,5.500000000000000281e-07,8.000000000000000000e+01
5.800000000000000000e+02,2.080000000000000251e-02,5.500000000000000281e-07,8.000000000000000000e+01
5.850000000000000000e+02,2.010000000000000328e-02,5.500000000000000281e-07,8.000000000000000000e+01
5.900000000000000000e+02,1.949999999999999997e-02,5.500000000000000281e-07,8.000000000000000000e+01
5.950000000000000000e+02,1.880000000000000074e-02,5.500000000000000281e-07,8.000000000000000000e+01
6.000000000000000000e+02,1.810000000000000150e-02,5.500000000000000281e-07,8.000000000000000000e+01
5.000000000000000000e+02,1.789999999999999925e-02,5.500000000000000281e-07,7.000000000000000000e+01
5.050000000000000000e+02,1.890000000000000013e-02,5.500000000000000281e-07,7.000000000000000000e+01
5.100000000000000000e+02,1.980000000000000163e-02,5.500000000000000281e-07,7.000000000000000000e+01
5.150000000000000000e+02,2.069999999999999965e-02,5.500000000000000281e-07,7.000000000000000000e+01
5.200000000000000000e+02,2.160000000000000114e-02,5.500000000000000281e-07,7.000000000000000000e+01
5.250000000000000000e+02,2.239999999999999977e-02,5.500000000000000281e-07,7.000000000000000000e+01
5.300000000000000000e+02,2.319999999999999840e-02,5.500000000000000281e-07,7.000000000000000000e+01
5.350000000000000000e+02,2.400000000000000050e-02,5.500000000000000281e-07,7.000000000000000000e+01
5.400000000000000000e+02,2.460000000000000034e-02,5.500000000000000281e-07,7.000000000000000000e+01
5.450000000000000000e+02,2.489999999999999852e-02,5.500000000000000281e-07,7.000000000000000000e+01
5.500000000000000000e+02,2.510000000000000078e-02,5.500000000000000281e-07,7.000000000000000000e+01
5.550000000000000000e+02,2.500000000000000139e-02,5.500000000000000281e-07,7.000000000000000000e+01
5.600000000000000000e+02,2.480000000000000260e-02,5.500000000000000281e-07,7.000000000000000000e+01
5.650000000000000000e+02,2.430000000000000215e-02,5.500000000000000281e-07,7.000000000000000000e+01
5.700000000000000000e+02,2.360000000000000292e-02,5.500000000000000281e-07,7.000000000000000000e+01
5.750000000000000000e+02,2.280000000000000082e-02,5.500000000000000281e-07,7.000000000000000000e+01
5.800000000000000000e+02,2.220000000000000098e-02,5.500000000000000281e-07,7.000000000000000000e+01
5.850000000000000000e+02,2.129999999999999949e-02,5.500000000000000281e-07,7.000000000000000000e+01
5.900000000000000000e+02,2.050000000000000086e-02,5.500000000000000281e-07,7.000000000000000000e+01
5.950000000000000000e+02,1.980000000000000163e-02,5.500000000000000281e-07,7.000000000000000000e+01
6.000000000000000000e+02,1.899999999999999953e-02,5.500000000000000281e-07,7.000000000000000000e+01
4.500000000000000000e+02,9.800000000000001418e-03,5.500000000000000281e-07,2.000000000000000000e+02
4.600000000000000000e+02,1.009999999999999960e-02,5.500000000000000281e-07,2.000000000000000000e+02
4.700000000000000000e+02,1.050000000000000065e-02,5.500000000000000281e-07,2.000000000000000000e+02
